location,region,ex_1960,ex_2012
SLV,Europe & Central Asia,51.29931707,72.10453659
SMR,,,
SOM,Sub-Saharan Africa,36.96587805,54.6912439
SRB,,,75.23414634
SSA,,40.20709867,56.4419985
SSD,Sub-Saharan Africa,31.67670732,54.64295122
SSF,Latin America & Caribbean,40.2032538,56.43890783
SST,Europe & Central Asia,51.93174752,63.20306578
STP,Europe & Central Asia,50.45136585,66.13487805
SUR,Europe & Central Asia,59.68012195,70.81139024
SVK,Sub-Saharan Africa,69.97592683,76.1097561
SVN,Latin America & Caribbean,68.97804878,80.12439024
SWE,Sub-Saharan Africa,73.00560976,81.70487805
SWZ,Middle East & North Africa,44.23378049,48.85063415
SXM,Latin America & Caribbean,,
SYC,Sub-Saharan Africa,,72.72439024
SYR,Sub-Saharan Africa,52.7682439,74.71070732
TCA,East Asia & Pacific,,
TCD,Europe & Central Asia,38.01612195,50.70058537
TGO,Europe & Central Asia,40.27282927,56.15034146
THA,East Asia & Pacific,55.23836585,74.18797561
TJK,East Asia & Pacific,56.15353659,67.25717073
TKM,Latin America & Caribbean,54.45868293,65.31358537
TLS,Middle East & North Africa,33.72712195,67.02058537
TON,Europe & Central Asia,61.36453659,72.489
TTO,East Asia & Pacific,62.65758537,69.81714634
TUN,Sub-Saharan Africa,42.0097561,75.1
TUR,Sub-Saharan Africa,45.38441463,74.86243902
TUV,Europe & Central Asia,,
TZA,,43.65387805,60.84643902
UGA,Latin America & Caribbean,43.98356098,58.64797561
UKR,North America,68.29953659,70.94414634
UMC,Europe & Central Asia,47.80281177,74.15797921
URY,Latin America & Caribbean,67.89587805,76.90782927
USA,Latin America & Caribbean,69.77073171,78.74146341
UZB,Latin America & Caribbean,58.88553659,68.104
VCT,East Asia & Pacific,57.72387805,72.40121951
VEN,East Asia & Pacific,59.52919512,74.4875122
VIR,,63.73021951,79.47317073
VNM,East Asia & Pacific,59.06702439,75.60668293
VUT,Middle East & North Africa,46.4874878,71.41068293
PSE,Sub-Saharan Africa,,73.01787805
WLD,Sub-Saharan Africa,52.47936704,70.77924335
WSM,Sub-Saharan Africa,49.9695122,72.98204878
YEM,,32.38565854,62.90578049
ZAF,,49.03629268,56.09831707
COD,,41.01804878,49.62326829
ZMB,,45.10980488,57.02258537
ZWE,,51.54246341,58.04597561
